ISim log file
Running: C:\training\verilog\ex06\ec06proj\MinMaxtf_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/training/verilog/ex06/ec06proj/MinMaxtf_isim_beh.wdb 
ISim O.40d (signature 0x79f3f3a8)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 us
Simulator is doing circuit initialization process.
Finished circuit initialization process.
Time MinMax X Y Output
  0.0ns 0 x  x  x
3580.0ns 1 5 15 15
3590.0ns 1 5  0  5
3600.0ns 1 5  1  5
3610.0ns 1 5  2  5
3620.0ns 1 5  3  5
3630.0ns 1 5  4  5
3640.0ns 1 5  5  5
3650.0ns 1 5  6  6
3660.0ns 1 5  7  7
3670.0ns 1 5  8  8
3680.0ns 1 5  9  9
3690.0ns 1 5 10 10
3700.0ns 1 5 11 11
3710.0ns 1 5 12 12
3720.0ns 1 5 13 13
3730.0ns 1 5 14 14
3740.0ns 1 5 15 15
3750.0ns 1 6 15 15
3760.0ns 1 6  0  6
3770.0ns 1 6  1  6
3780.0ns 1 6  2  6
3790.0ns 1 6  3  6
3800.0ns 1 6  4  6
3810.0ns 1 6  5  6
3820.0ns 1 6  6  6
3830.0ns 1 6  7  7
3840.0ns 1 6  8  8
3850.0ns 1 6  9  9
3860.0ns 1 6 10 10
3870.0ns 1 6 11 11
3880.0ns 1 6 12 12
3890.0ns 1 6 13 13
3900.0ns 1 6 14 14
3910.0ns 1 6 15 15
3920.0ns 1 7 15 15
3930.0ns 1 7  0  7
3940.0ns 1 7  1  7
3950.0ns 1 7  2  7
3960.0ns 1 7  3  7
3970.0ns 1 7  4  7
3980.0ns 1 7  5  7
3990.0ns 1 7  6  7
4000.0ns 1 7  7  7
4010.0ns 1 7  8  8
4020.0ns 1 7  9  9
4030.0ns 1 7 10 10
4040.0ns 1 7 11 11
4050.0ns 1 7 12 12
4060.0ns 1 7 13 13
4070.0ns 1 7 14 14
4080.0ns 1 7 15 15
4090.0ns 1 8 15 15
4100.0ns 1 8  0  8
4110.0ns 1 8  1  8
4120.0ns 1 8  2  8
4130.0ns 1 8  3  8
4140.0ns 1 8  4  8
4150.0ns 1 8  5  8
4160.0ns 1 8  6  8
4170.0ns 1 8  7  8
4180.0ns 1 8  8  8
4190.0ns 1 8  9  9
4200.0ns 1 8 10 10
4210.0ns 1 8 11 11
4220.0ns 1 8 12 12
4230.0ns 1 8 13 13
4240.0ns 1 8 14 14
4250.0ns 1 8 15 15
4260.0ns 1 9 15 15
4270.0ns 1 9  0  9
4280.0ns 1 9  1  9
4290.0ns 1 9  2  9
4300.0ns 1 9  3  9
4310.0ns 1 9  4  9
4320.0ns 1 9  5  9
4330.0ns 1 9  6  9
4340.0ns 1 9  7  9
4350.0ns 1 9  8  9
4360.0ns 1 9  9  9
4370.0ns 1 9 10 10
4380.0ns 1 9 11 11
4390.0ns 1 9 12 12
4400.0ns 1 9 13 13
4410.0ns 1 9 14 14
4420.0ns 1 9 15 15
4430.0ns 110 15 15
4440.0ns 110  0 10
4450.0ns 110  1 10
4460.0ns 110  2 10
4470.0ns 110  3 10
4480.0ns 110  4 10
4490.0ns 110  5 10
4500.0ns 110  6 10
4510.0ns 110  7 10
4520.0ns 110  8 10
4530.0ns 110  9 10
4540.0ns 110 10 10
4550.0ns 110 11 11
4560.0ns 110 12 12
4570.0ns 110 13 13
4580.0ns 110 14 14
4590.0ns 110 15 15
4600.0ns 111 15 15
4610.0ns 111  0 11
4620.0ns 111  1 11
4630.0ns 111  2 11
4640.0ns 111  3 11
4650.0ns 111  4 11
4660.0ns 111  5 11
4670.0ns 111  6 11
4680.0ns 111  7 11
4690.0ns 111  8 11
4700.0ns 111  9 11
4710.0ns 111 10 11
4720.0ns 111 11 11
4730.0ns 111 12 12
4740.0ns 111 13 13
4750.0ns 111 14 14
4760.0ns 111 15 15
4770.0ns 112 15 15
4780.0ns 112  0 12
4790.0ns 112  1 12
4800.0ns 112  2 12
4810.0ns 112  3 12
4820.0ns 112  4 12
4830.0ns 112  5 12
4840.0ns 112  6 12
4850.0ns 112  7 12
4860.0ns 112  8 12
4870.0ns 112  9 12
4880.0ns 112 10 12
4890.0ns 112 11 12
4900.0ns 112 12 12
4910.0ns 112 13 13
4920.0ns 112 14 14
4930.0ns 112 15 15
4940.0ns 113 15 15
4950.0ns 113  0 13
4960.0ns 113  1 13
4970.0ns 113  2 13
4980.0ns 113  3 13
4990.0ns 113  4 13
5000.0ns 113  5 13
5010.0ns 113  6 13
5020.0ns 113  7 13
5030.0ns 113  8 13
5040.0ns 113  9 13
5050.0ns 113 10 13
5060.0ns 113 11 13
5070.0ns 113 12 13
5080.0ns 113 13 13
5090.0ns 113 14 14
5100.0ns 113 15 15
5110.0ns 114 15 15
5120.0ns 114  0 14
5130.0ns 114  1 14
5140.0ns 114  2 14
5150.0ns 114  3 14
5160.0ns 114  4 14
5170.0ns 114  5 14
5180.0ns 114  6 14
5190.0ns 114  7 14
5200.0ns 114  8 14
5210.0ns 114  9 14
5220.0ns 114 10 14
5230.0ns 114 11 14
5240.0ns 114 12 14
5250.0ns 114 13 14
5260.0ns 114 14 14
5270.0ns 114 15 15
5280.0ns 115 15 15
5290.0ns 115  0 15
5300.0ns 115  1 15
5310.0ns 115  2 15
5320.0ns 115  3 15
5330.0ns 115  4 15
5340.0ns 115  5 15
5350.0ns 115  6 15
5360.0ns 115  7 15
5370.0ns 115  8 15
5380.0ns 115  9 15
5390.0ns 115 10 15
5400.0ns 115 11 15
5410.0ns 115 12 15
5420.0ns 115 13 15
5430.0ns 115 14 15
5440.0ns 115 15 15
